count layer hidden,count neuron,epoc,count data,percentage validation,percentage error training,percentage error validation
1,5,0,100,10.0,16.450443186071208,10.315809568746312
1,5,1,100,10.0,10.418800898595864,8.456201353399992
1,5,2,100,10.0,7.997782260196426,5.96025488596371
1,5,3,100,10.0,5.545179647386288,4.038484792303927
1,5,4,100,10.0,3.3367577979089873,2.3403620232470645
1,5,5,100,10.0,1.7202751361925284,1.4331948394582916
1,5,6,100,10.0,0.9581129792931754,1.0579225967174815
1,5,7,100,10.0,0.6183584094342837,0.8676196677401681
1,5,8,100,10.0,0.44376033468157966,0.7469159410421443
1,5,9,100,10.0,0.3409383531474637,0.660799451696452
1,5,10,100,10.0,0.27408849226165105,0.5958140549885191
1,5,11,100,10.0,0.22750582186828816,0.5451150671126751
1,5,12,100,10.0,0.19338217072094743,0.5045709815063429
1,5,13,100,10.0,0.16742854584871433,0.4714786729776866
1,5,14,100,10.0,0.14710208165022395,0.44399235961049
1,5,15,100,10.0,0.13080357974377343,0.42081418549802996
1,5,16,100,10.0,0.11747932923592594,0.4010094438858463
1,5,17,100,10.0,0.10640833371134745,0.38389064979105014
1,5,18,100,10.0,0.09708159975255973,0.368942491121747
1,5,19,100,10.0,0.08913021217935488,0.35577203478710506
1,5,20,100,10.0,0.08228069106279462,0.3440749706552269
1,5,21,100,10.0,0.07632630701555325,0.3336122738340544
1,5,22,100,10.0,0.07110809466035009,0.32419377401590793
1,5,23,100,10.0,0.0665019567828493,0.3156663911676661
1,5,24,100,10.0,0.062409704556108885,0.3079055797593652
1,5,25,100,10.0,0.058752706201726686,0.30080901577704433
1,5,26,100,10.0,0.055467303249817,0.29429187575070553
1,5,27,100,10.0,0.0525014487234904,0.2882832621941926
1,5,28,100,10.0,0.049812205315905154,0.2827234657049386
1,5,29,100,10.0,0.04736385873772873,0.2775618453376198
1,5,0,100,20.0,0.04791402986334508,0.03662523117907594
1,5,1,100,20.0,0.046118869698688385,0.0355368465995895
1,5,2,100,20.0,0.0444388313575151,0.034508438449934405
1,5,3,100,20.0,0.04286460653606541,0.0335362145228649
1,5,4,100,20.0,0.04138756765062147,0.03261646350918966
1,5,5,100,20.0,0.03999975253993513,0.03174561066553837
1,5,6,100,20.0,0.03869387688358287,0.030920266085816474
1,5,7,100,20.0,0.037463318832986967,0.03013725218475059
1,5,8,100,20.0,0.03630208033859161,0.029393613971086592
1,5,9,100,20.0,0.035204736650580354,0.028686617791345164
1,5,10,100,20.0,0.03416638232019978,0.028013743102517266
1,5,11,100,20.0,0.03318257844680269,0.027372670409031075
1,5,12,100,20.0,0.03224930349662261,0.026761267387923646
1,5,13,100,20.0,0.031362908615231014,0.02617757445981916
1,5,14,100,20.0,0.030520077604734925,0.025619790559947463
1,5,15,100,20.0,0.02971779136433781,0.025086259540463902
1,5,16,100,20.0,0.028953296428406942,0.024575457431209813
1,5,17,100,20.0,0.028224077181604842,0.02408598065891296
1,5,18,100,20.0,0.027527831331607935,0.023616535247144594
1,5,19,100,20.0,0.02686244824702843,0.023165926973292582
1,5,20,100,20.0,0.026225989805778904,0.02273305243286609
1,5,21,100,20.0,0.02561667343923012,0.02231689094819599
1,5,22,100,20.0,0.02503285709616989,0.021916497253256395
1,5,23,100,20.0,0.02447302588600528,0.021530994885824425
1,5,24,100,20.0,0.023935780192247784,0.021159570220532494
1,5,25,100,20.0,0.023419825075056966,0.020801467080287208
1,5,26,100,20.0,0.022923960805723703,0.02045598186822482
1,5,27,100,20.0,0.022447074396816938,0.02012245916733951
1,5,28,100,20.0,0.02198813200968677,0.019800287759859772
1,5,29,100,20.0,0.02154617213647928,0.0194888970231697
1,5,0,100,30.0,0.018072818584115816,0.026017675367835506
1,5,1,100,30.0,0.01740740562327647,0.026434903364253737
1,5,2,100,30.0,0.01686216199681608,0.026800770657820997
1,5,3,100,30.0,0.016403763512788296,0.027117748296946714
1,5,4,100,30.0,0.016009709084784027,0.027389148903912378
1,5,5,100,30.0,0.015664369675774784,0.02761865936191521
1,5,6,100,30.0,0.015356634313929302,0.02781005899618316
1,5,7,100,30.0,0.015078447981711467,0.02796704924112622
1,5,8,100,30.0,0.014823871704561611,0.028093153091591567
1,5,9,100,30.0,0.014588460806890616,0.028191659386044336
1,5,10,100,30.0,0.014368843660606255,0.028265596244016564
1,5,11,100,30.0,0.01416243043881932,0.02831772343812998
1,5,12,100,30.0,0.013967208247975418,0.02835053687023041
1,5,13,100,30.0,0.013781594860197215,0.02836628052086301
1,5,14,100,30.0,0.01360433291892026,0.028366962717657998
1,5,15,100,30.0,0.013434412534266395,0.02835437458224958
1,5,16,100,30.0,0.013271014062764066,0.028330109221678956
1,5,17,100,30.0,0.013113465409028024,0.028295580725346704
1,5,18,100,30.0,0.012961209886451892,0.02825204237563364
1,5,19,100,30.0,0.012813781828759543,0.028200603722224327
1,5,20,100,30.0,0.012670787940559109,0.0281422463369624
1,5,21,100,30.0,0.012531892931294038,0.028077838179101332
1,5,22,100,30.0,0.012396808370046395,0.028008146575511234
1,5,23,100,30.0,0.012265283979255913,0.027933849867911406
1,5,24,100,30.0,0.0121371007876023,0.027855547807629593
1,5,25,100,30.0,0.012012065709204425,0.027773770793600154
1,5,26,100,30.0,0.011890007223844411,0.0276889880555445
1,5,27,100,30.0,0.011770771912235564,0.027601614884557212
1,5,28,100,30.0,0.011654221659217024,0.027512019009798657
1,5,29,100,30.0,0.011540231381722093,0.027420526214190537
1,5,0,500,10.0,0.10477274328916325,0.1772063140766329
1,5,1,500,10.0,0.07635034262644481,0.15558571829859838
1,5,2,500,10.0,0.06013940379155967,0.1427261070121722
1,5,3,500,10.0,0.04946323480894082,0.1340092470955799
1,5,4,500,10.0,0.041920974508629534,0.12744900277093696
1,5,5,500,10.0,0.03630971309638984,0.12216974939001703
1,5,6,500,10.0,0.03197156320865012,0.1177478638847038
1,5,7,500,10.0,0.028517936519198706,0.11395255086826511
1,5,8,500,10.0,0.025704470482660235,0.11064266069158755
1,5,9,500,10.0,0.023369570142645794,0.10772322523018858
1,5,10,500,10.0,0.02140194150381047,0.10512568594905126
1,5,11,500,10.0,0.019722342319797925,0.10279807235794311
1,5,12,500,10.0,0.018272772473426364,0.10069965453741618
1,5,13,500,10.0,0.017009781509083322,0.0987977657905686
1,5,14,500,10.0,0.015900166762278675,0.09706576546751401
1,5,15,500,10.0,0.014918118049899572,0.0954816501530213
1,5,16,500,10.0,0.014043269410320169,0.09402706142043005
1,5,17,500,10.0,0.01325933745317109,0.09268655179077566
1,5,18,500,10.0,0.012553149467734968,0.09144702753111787
1,5,19,500,10.0,0.011913936722368337,0.09029731742294285
1,5,20,500,10.0,0.011332812035028977,0.08922783399607488
1,5,21,500,10.0,0.01080237780978901,0.08823030420426896
1,5,22,500,10.0,0.010316428010628867,0.08729755318154218
1,5,23,500,10.0,0.009869718804565893,0.08642332914492652
1,5,24,500,10.0,0.009457790097723113,0.08560216055855607
1,5,25,500,10.0,0.00907682526510722,0.08482923883613837
1,5,26,500,10.0,0.008723539874187058,0.08410032142782191
1,5,27,500,10.0,0.008395092651551583,0.08341165129710665
1,5,28,500,10.0,0.008089013680442339,0.08275988966345926
1,5,29,500,10.0,0.007803146067104025,0.08214205954700023
1,5,0,500,20.0,0.007422644782184485,0.00788344153059987
1,5,1,500,20.0,0.007180322585373556,0.007875436732530647
1,5,2,500,20.0,0.006967106444876599,0.007841459187381198
1,5,3,500,20.0,0.006772357614700619,0.007789436971218478
1,5,4,500,20.0,0.006591082406230183,0.007725330578340745
